time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-09T18:15:28.570Z,40.3453333,-125.153,8.65,2.78,md,13,308,0.6223,0.15,nc,nc73216541,2019-07-12T12:44:02.577Z,"74km W of Petrolia, CA",earthquake,2.57,5,0.125,27,reviewed,nc,nc
2019-07-09T11:30:13.140Z,40.2913333,-124.3408333,8.68,2.79,md,20,152,0.003187,0.1,nc,nc73216121,2019-07-11T17:18:03.238Z,"6km SW of Petrolia, CA",earthquake,0.65,0.31,0.164,46,reviewed,nc,nc
2019-07-07T05:26:29.100Z,40.2943333,-124.4303333,18.62,2.59,md,22,254,0.06737,0.1,nc,nc73212301,2019-07-12T17:09:04.954Z,"13km WSW of Petrolia, CA",earthquake,0.66,0.28,0.208,39,reviewed,nc,nc
2019-07-07T04:07:55.270Z,40.4143333,-124.7058333,20.86,2.57,md,39,238,0.2877,0.19,nc,nc73212191,2019-07-16T01:27:05.204Z,"37km WNW of Petrolia, CA",earthquake,1.08,0.5,0.174,36,reviewed,nc,nc
2019-07-05T17:22:32.830Z,40.4563333,-124.1628333,27.5,2.52,md,18,135,0.0506,0.17,nc,nc73207941,2019-07-09T21:23:03.941Z,"7km SW of Rio Dell, CA",earthquake,0.46,0.81,0.208,34,reviewed,nc,nc
2019-07-03T13:17:24.430Z,41.3181667,-126.7893333,9.62,3.12,md,15,306,2.04,0.13,nc,nc73205546,2019-07-04T04:06:02.447Z,"221km WSW of Crescent City, CA",earthquake,1.25,31.61,0.186,23,reviewed,nc,nc
2019-06-25T11:14:05.480Z,40.3546667,-125.2755,14.15,2.55,md,12,327,0.7163,0.31,nc,nc73201901,2019-06-26T03:03:04.282Z,"84km W of Petrolia, CA",earthquake,14.76,17.61,0.142,24,reviewed,nc,nc
2019-06-23T22:39:10.810Z,40.3198333,-124.8655,12.3,3.87,mw,70,231,0.4011,0.23,nc,nc73201431,2019-09-11T15:19:38.040Z,"49km W of Petrolia, CA",earthquake,0.51,0.78,,4,reviewed,nc,nc
2019-06-23T03:53:02.890Z,40.2735,-124.3003333,9.44,5.58,mw,34,159,0.03116,0.17,nc,nc73201181,2020-03-01T04:03:16.140Z,"6km SSW of Petrolia, CA",earthquake,0.34,0.21,,6,reviewed,nc,nc
2019-06-23T03:27:31.880Z,40.2815,-124.2938333,9.01,2.8,md,30,142,0.03264,0.14,nc,nc73201166,2019-09-11T15:19:34.040Z,"5km S of Petrolia, CA",earthquake,0.29,0.2,0.221,62,reviewed,nc,nc
2019-06-21T04:39:18.900Z,40.4466667,-124.6825,17.09,2.61,md,14,290,0.2648,0.14,nc,nc73200446,2019-06-23T04:16:22.716Z,"36km WNW of Petrolia, CA",earthquake,1.53,0.88,0.282,9,reviewed,nc,nc
2019-06-16T06:39:45.480Z,40.4131667,-124.6428333,25.36,2.65,md,33,241,0.2412,0.16,nc,nc73198686,2019-06-23T04:37:37.277Z,"32km WNW of Petrolia, CA",earthquake,0.94,1.32,0.202,38,reviewed,nc,nc
2019-06-14T22:59:33.190Z,40.229,-124.172,12,2.92,md,20,153,0.02145,0.14,nc,nc73197761,2019-09-06T14:25:07.040Z,"14km SE of Petrolia, CA",earthquake,0.38,0.41,0.252,34,reviewed,nc,nc
2019-05-20T19:01:22.520Z,40.5336667,-124.0213333,22.31,2.5,md,27,42,0.09938,0.12,nc,nc73184416,2019-05-21T17:31:17.767Z,"7km ESE of Hydesville, CA",earthquake,0.25,0.45,0.192,26,reviewed,nc,nc
2019-05-20T19:00:44.270Z,40.5373333,-124.0328333,22.6,2.56,md,29,42,0.1024,0.14,nc,nc73184411,2019-05-21T01:50:03.563Z,"6km ESE of Hydesville, CA",earthquake,0.29,0.45,0.153,35,reviewed,nc,nc
2019-05-20T11:15:44.380Z,40.437,-125.2878333,24.34,3,ml,54,273,0.7262,0.19,nc,nc73184251,2019-08-07T22:03:55.040Z,"86km W of Petrolia, CA",earthquake,1.22,10.38,0.21,10,reviewed,nc,nc
2019-05-17T17:08:01.548Z,40.6735,-127.1801,12.66,3.3,ml,,254,2.174,0.67,us,us70003mn1,2019-08-07T22:03:45.040Z,"246km W of Ferndale, California",earthquake,5.9,9.4,0.045,64,reviewed,us,us
2019-05-12T08:06:41.490Z,40.5973333,-124.8203333,23.7,2.62,md,33,276,0.3876,0.19,nc,nc73180645,2019-05-14T04:49:03.305Z,"47km W of Ferndale, CA",earthquake,1.34,10.47,0.219,28,reviewed,nc,nc
2019-05-11T22:44:26.130Z,41.7608,-126.1382,23.73,3,md,,291,1.495,0.77,us,us70003jww,2019-08-01T17:15:12.040Z,"157km WSW of Brookings, Oregon",earthquake,7,2,0.137,14,reviewed,nc,nc
2019-05-11T22:11:12.653Z,41.7957,-126.0252,10.75,4.1,mwr,,212,1.404,0.68,us,us70003jwm,2019-08-01T17:15:12.040Z,"147km W of Brookings, Oregon",earthquake,6.6,7.3,,4,reviewed,us,nc
2019-05-09T07:14:43.195Z,40.6272,-127.3873,10,3.1,ml,,265,2.328,0.7,us,us70003iqs,2019-08-01T17:15:06.040Z,"264km W of Ferndale, California",earthquake,9.4,2,0.051,50,reviewed,us,us
2019-05-05T09:13:49.250Z,40.3965,-124.4445,27.33,2.61,md,17,238,0.1136,0.09,nc,nc73177355,2019-05-06T20:53:03.292Z,"16km WNW of Petrolia, CA",earthquake,0.93,0.62,0.15,38,reviewed,nc,nc
2019-05-05T07:12:01.154Z,40.6137,-127.5097,10,3.2,ml,,253,2.59,0.99,us,us70003gxv,2019-07-25T18:54:20.040Z,"274km W of Ferndale, California",earthquake,11.4,2,0.048,56,reviewed,us,us
2019-05-05T07:05:29.817Z,40.6774,-126.7318,10,3.1,ml,,260,2.006,0.63,us,us70003gxp,2019-07-25T18:54:20.040Z,"209km W of Ferndale, California",earthquake,5.4,2,0.047,60,reviewed,us,us
2019-05-05T06:46:57.006Z,40.6203,-127.3338,10,5,mww,,252,2.287,0.69,us,us70003gxb,2020-02-23T06:57:20.337Z,"259km W of Ferndale, California",earthquake,8.8,2,0.033,86,reviewed,us,us
